weather_id,date_time,city,season,temperature_c,humidity,rain_mm,weather_condition,wind_speed_kmh,visibility_m,air_pressure_hpa
5068.0,06/01/2024 02PM,London,Summer,14.06,-27.62439355854295,0.0,Clear,32.44,8390,1002.94
5069.0,06/01/2024 04PM,London,Summer,16.54,62.0,0.0,Clear,24.88,10517,1009.13
,2024-01-06T18:00Z,London,Winter,10.24,,212.6371764023149,Storm,,5204,875.0753867897772
5071.0,2024-01-06T20:00Z,London,Winter,,66.0,0.0,Clear,71.31,8328,1011.57
5072.0,2024-01-06T22:00Z,London,Winter,10.12,86.0,0.0,Clear,74.99,9717,
5073.0,2024-01-07 00:00,London,,13.17,27.0,0.0,Clear,46.2,11589,
,2024-01-07T02:00Z,London,Winter,-4.06,64.0,0.0,Clear,67.95,49985.41269666651,1015.54
5075.0,2024-01-07T04:00Z,London,Winter,0.37,44.0,0.0,Clear,,11940,1020.17
5076.0,07/01/2024 06AM,London,Summer,23.34,52.0,0.0,Clear,25.62,11539,1000.43
5077.0,07/01/2024 08AM,,Summer,23.77,68.0,0.0,Clear,13.54,10220,
5078.0,2099-13-40 25:61,London,,4.53,27.0,0.0,,356.8685184299458,???,879.7983014247903
5079.0,07/01/2024 12PM,London,Summer,16.08,25.0,,Fog,38.08,9356,
5080.0,07/01/2024 02PM,,Summer,27.11,157.86211733066628,0.0,Clear,6.15,9593,1005.35
5081.0,,London,Autumn,6.52,88.0,29.13,Rain,75.29,683,981.66
5082.0,07/01/2024 06PM,London,Summer,-41.075374194469305,-32.673393488503145,0.0,Snow,6.78,4118,984.61
5083.0,2024-01-07T20:00Z,London,Winter,-1.09,65.0,0.0,Clear,77.94,8822,1015.93
5084.0,07/01/2024 10PM,,Summer,19.82,57.0,,Fog,16.77,10756,999.68
5085.0,08/01/2024 12AM,London,Summer,33.09,22.0,0.0,Clear,6.8,10650,1005.8
5086.0,2024-01-08 02:00,London,Winter,5.38,68.0,0.0,Clear,38.62,11405,1002.48
5087.0,2024-01-08T04:00Z,London,,,63.0,14.77,Rain,76.68,1239,973.7
5088.0,2024-01-08T06:00Z,London,Winter,4.15,73.0,0.0,Snow,13.8,9282,1000.83
5089.0,2024-01-08T08:00Z,London,Winter,-1.54,51.0,75.23958598908203,Rain,39.6,1252,985.49
5090.0,2024-01-08T10:00Z,London,Winter,11.47,42.0,0.0,Clear,52.29,9076,1007.56
5091.0,08/01/2024 12PM,London,Summer,20.7,33.0,0.0,Clear,78.32,10107,993.81
5092.0,2024-01-08 14:00,,Winter,-2.08,83.0,0.0,Snow,61.51,,1032.26
5093.0,2024-01-08 16:00,London,Winter,4.89,75.0,0.0,,62.71,9807,1007.11
5094.0,,London,Summer,19.3,45.0,0.0,,,,1017.82
,,London,Winter,2.35,88.0,215.25798098184544,Snow,59.86,8573,995.62
5096.0,2024-01-08T22:00Z,London,Winter,-4.46,53.0,0.0,Snow,76.37,1098,1018.91
5097.0,2024-01-09 00:00,London,,6.47,70.0,0.0,,42.93,10094,996.22
5098.0,09/01/2024 02AM,London,Autumn,-44.137910284849525,166.45130901423437,83.66762819197129,Storm,58.63,3154,975.07
,2024-01-09T04:00Z,London,Winter,,63.0,0.0,Clear,59.25,10950,1012.86
5100.0,2024-01-09 06:00,London,,13.95,-25.77701602118627,0.0,Clear,29.46,11000,880.8249435464936
5101.0,2024-01-09 08:00,London,Winter,9.76,55.0,0.0,Clear,3.51,11668,
5102.0,2024-01-09 10:00,London,Winter,13.52,60.0,3.84,Clear,35.97,11155,1000.6
5103.0,2024-01-09 12:00,London,Winter,-2.03,65.0,86.30502923502657,Snow,,7747,
5104.0,,London,Summer,70.82890943096679,154.32018029576972,,Clear,39.91,9568,1015.39
5105.0,2024-01-09T16:00Z,London,Winter,4.69,,207.02331663269385,Storm,57.44,11882,983.7
5106.0,,London,Summer,24.09,51.0,,,73.43,11763,992.38
5107.0,09/01/2024 08PM,London,Autumn,23.84,69.0,0.0,Clear,25.38,10513,1013.56
5108.0,2024-01-09T22:00Z,,Winter,,78.0,0.0,Clear,182.987966978529,11365,1025.47
,2024-01-10 00:00,London,,13.15,72.0,0.0,Clear,52.08,49981.52819274956,1003.67
5110.0,10/01/2024 02AM,London,Autumn,64.12492986904785,-10.64003948308821,0.0,Clear,,10251,994.43
5111.0,2024-01-10 04:00,London,Winter,14.54,90.0,204.62203051355118,Storm,,3816,966.31
5112.0,2024-01-10T06:00Z,London,Winter,-3.42,72.0,0.0,Clear,75.92,8174,1017.42
5113.0,,London,Autumn,22.13,50.0,0.0,Clear,11.86,11788,1021.43
5114.0,2024-01-10T10:00Z,London,,8.26,158.28735189335677,0.0,,65.39,10851,999.12
5115.0,2024-01-10T12:00Z,London,Winter,-0.77,88.0,210.0846285253111,Storm,184.0093770445574,2014,997.77
5116.0,,London,Winter,-1.74,54.0,0.0,Snow,366.1842888543756,error,1006.28
5117.0,2024-01-10T16:00Z,London,Winter,-2.95,63.0,10.58,Snow,22.15,2968,1024.41
5118.0,10/01/2024 06PM,London,Autumn,16.66,71.0,0.0,Clear,40.59,8741,1019.64
5119.0,,London,Summer,31.79,43.0,0.0,Clear,,10049,1001.19
5120.0,2024-01-10T22:00Z,London,Winter,-2.14,45.0,0.0,Snow,60.9,6033,983.11
5121.0,2024-01-11T00:00Z,London,Winter,7.53,62.0,,Clear,23.27,11637,1029.85
5122.0,2024-01-11 02:00,London,Winter,-2.38,50.0,0.0,Clear,,120010.41938912949,1021.89
5123.0,2024-01-11T04:00Z,London,Winter,7.46,46.0,0.0,Clear,48.72,9466,991.58
5124.0,,London,Winter,,172.61948459891454,0.0,,65.05,10772,
5125.0,11/01/2024 08AM,London,Autumn,10.37,71.0,0.0,Clear,63.99,10851,1023.77
5126.0,2024-01-11T10:00Z,London,Winter,-4.42,48.0,0.0,Snow,0.99,6487,1012.4
,2024-01-11T12:00Z,,Winter,-4.77,70.0,7.88,Snow,51.47,5083,990.85
,2024-01-11T14:00Z,London,Winter,6.25,,4.46,Fog,,413,1001.68
5129.0,2024-01-11T16:00Z,London,Winter,0.09,65.0,,Clear,36.04,120013.8306582226,1013.4
5130.0,2024-01-11 18:00,London,Winter,7.12,66.0,0.0,Clear,36.23,11065,1011.91
5131.0,2024-01-11T20:00Z,London,Winter,8.45,51.0,0.0,Clear,38.43,11063,
5132.0,2024-01-11 22:00,London,Winter,-1.78,43.0,,Clear,54.04,9592,1031.95
,2024-01-12T00:00Z,London,Winter,-4.74,89.0,54.37,Rain,57.99,227,985.15
5134.0,2024-01-12 02:00,London,Winter,-3.98,82.0,213.134876679622,Rain,43.45,3404,
5135.0,2024-01-12T04:00Z,London,Winter,-4.2,90.0,0.0,Clear,,,1003.84
5136.0,2024-01-12T06:00Z,London,Winter,3.48,84.0,,Clear,194.85536967439725,8932,1008.05
5137.0,TBD,London,Winter,-3.55,90.0,74.87,Snow,17.59,9220,1013.48
5138.0,TBD,London,Winter,9.97,66.0,3.58,Clear,63.97,10248,893.1397314333535
5139.0,2024-01-12 12:00,London,,5.8,59.0,0.0,Clear,13.49,10624,995.37
5140.0,2024-01-12T14:00Z,London,Winter,-3.36,74.0,0.0,Clear,65.01,8150,1039.95
5141.0,2024-01-12T16:00Z,London,Winter,-54.735207918532474,79.0,3.23,Clear,38.68,8257,1026.74
5142.0,2024-01-12 18:00,London,Winter,9.07,87.0,55.76,Rain,30.11,,994.63
5143.0,2024-01-12 20:00,London,Winter,1.6,70.0,89.3371627838067,Storm,112.91,6894,978.28
5144.0,2024-01-12T22:00Z,London,Winter,8.19,61.0,,Fog,48.44,7163,995.21
5145.0,2024-01-13T00:00Z,London,Winter,8.95,70.0,0.0,Clear,7.82,120013.59327554864,
5146.0,2024-01-13 02:00,London,Winter,2.25,56.0,0.0,Clear,16.3,10290,1002.27
5147.0,2024-01-13T04:00Z,London,Winter,13.98,90.0,0.0,Clear,198.14654469494621,8908,1018.98
5148.0,2024-01-13 06:00,London,Winter,7.81,82.0,64.88,Rain,28.78,6485,895.7441200612325
5149.0,2024-01-13T08:00Z,London,Winter,-42.3440475936113,72.0,0.0,Clear,55.54,11102,1027.26
5150.0,2024-01-13 10:00,London,Winter,1.31,40.0,0.0,Clear,44.36,10349,1017.32
5151.0,2024-01-13 12:00,London,Winter,11.73,47.0,0.0,Clear,190.51668687079416,11674,997.31
5152.0,2024-01-13T14:00Z,London,Winter,5.82,83.0,,Clear,8.06,9076,1014.52
5153.0,13/01/2024 04PM,London,Winter,-2.38,46.0,0.0,Snow,,964,1008.91
5154.0,13/01/2024 06PM,London,Winter,4.0,75.0,0.0,Clear,46.15,9165,1009.5
5155.0,2024-01-13 20:00,,Winter,13.57,,3.24,Fog,48.43,10133,1116.550563695216
5156.0,,London,Autumn,5.53,55.0,209.7461552004089,Rain,10.11,11539,992.86
5157.0,2024-01-14T00:00Z,London,Winter,7.8,70.0,0.0,Clear,0.01,9921,1009.68
5158.0,2024-01-14 02:00,London,Winter,12.64,85.0,0.0,Clear,61.16,9166,
,14/01/2024 04AM,London,Winter,-41.62573117350584,46.0,,,17.38,9521,1013.21
5160.0,14/01/2024 06AM,London,Winter,,89.0,0.0,Clear,355.21117830142856,11834,991.69
5161.0,2024-01-14 08:00,,Winter,-2.74,50.0,0.0,Clear,55.26,,1024.75
5162.0,2024-01-14T10:00Z,London,Winter,4.76,81.0,0.0,Snow,71.89,2528,1015.56
5163.0,2024-01-14T12:00Z,,,19.14,22.0,0.0,,77.37,11136,1002.9
5164.0,2024-01-14 14:00,London,,,69.0,0.0,Clear,5.67,11644,1015.56
5165.0,2024-01-14 16:00,London,Winter,-31.38491294981911,46.0,0.0,Clear,75.8,11138,1018.35
,14/01/2024 06PM,London,Winter,7.0,75.0,0.0,Clear,48.67,11793,
5167.0,2024-01-14 20:00,London,Winter,1.01,41.0,0.0,Clear,178.90267765864883,9023,993.68
5168.0,2024-01-14 22:00,London,Winter,,81.0,94.27253759175346,Rain,69.43,,998.46
5169.0,15/01/2024 12AM,London,Winter,-3.2,,77.12697468670588,Storm,69.57,7363,980.09
5170.0,2024-01-15 02:00,,Winter,14.8,42.0,0.0,Clear,6.87,8604,990.55
5171.0,2024-01-15T04:00Z,London,Winter,10.01,49.0,0.0,Clear,192.41316721177935,49981.782759477006,
,15/01/2024 06AM,London,Winter,13.08,45.0,0.0,,19.79,120008.88445333116,1029.84
5173.0,2024-01-15 08:00,London,Winter,-0.49,-10.984857663885709,0.0,Snow,77.64,5434,1037.3
,2024-01-15T10:00Z,,Winter,6.15,60.0,5.46,Fog,74.7,120015.42366263771,1014.49
,2024-01-15 12:00,London,Winter,9.24,71.0,6.72,Fog,53.71,6054,1008.3
5176.0,15/01/2024 02PM,London,Winter,6.44,85.0,,Clear,31.65,10583,1007.58
5177.0,2024-01-15 16:00,London,Winter,,72.0,0.0,Clear,36.07,,1002.96
5178.0,2024-01-15T18:00Z,London,Winter,5.48,72.0,83.37982847643859,Rain,,9182,992.71
5179.0,Unknown,London,Autumn,,85.0,0.0,,,10471,991.96
5180.0,2024-01-15T22:00Z,London,Winter,14.33,-25.78576436312315,88.76177707033713,Storm,65.74,8359,977.59
5181.0,2024-01-16 00:00,London,Winter,9.58,79.0,2.65,Clear,79.92,10611,
5182.0,2024-01-16 02:00,London,Winter,,51.0,0.0,Clear,2.84,11543,1021.36
5183.0,16/01/2024 04AM,London,,17.32,-13.981521161054605,0.0,Clear,48.46,9262,991.27
5184.0,2024-01-16 06:00,,Winter,-52.68489702720677,70.0,0.0,Snow,362.90366550473817,446,
5185.0,2024-01-16T08:00Z,London,,22.75,45.0,0.0,Clear,,10105,1011.97
5186.0,16/01/2024 10AM,London,Winter,3.87,-32.84701048834888,0.0,Clear,35.67,11106,1028.95
5187.0,,London,Summer,27.76,34.0,0.0,Clear,73.38,49983.786020517095,996.83
,2024-01-16 14:00,London,Winter,10.85,66.0,92.3514965159763,Rain,27.38,11427,1018.17
5189.0,16/01/2024 04PM,,Winter,-3.77,77.0,3.05,Snow,15.65,4561,1023.82
5190.0,,London,Summer,-40.24590313541361,65.0,0.0,Snow,73.96,1587,1041.74
5191.0,2024-01-16T20:00Z,London,Winter,-1.4,68.0,93.27283450155518,Snow,187.0817033024286,6981,1102.2111587683169
5192.0,2024-01-16T22:00Z,London,Winter,7.26,40.0,0.0,Clear,76.85,11780,1021.4
5193.0,17/01/2024 12AM,,Winter,81.28613140131586,48.0,0.0,Clear,72.81,8718,999.4
5194.0,2024-01-17 02:00,London,Winter,3.26,86.0,0.0,Clear,13.41,11081,1017.34
5195.0,17/01/2024 04AM,,Winter,,74.0,0.0,Clear,359.77884409224777,11007,1010.8
5196.0,,London,Winter,8.71,,1.84,Clear,51.05,8532,1015.92
5197.0,2024-01-17T08:00Z,London,Winter,13.45,82.0,15.18,,76.45,11803,1015.82
5198.0,17/01/2024 10AM,London,Winter,-3.54,,0.76,Snow,0.3,11327,1041.76
5199.0,,London,Winter,12.07,88.0,12.75,Clear,,,991.01
5200.0,17/01/2024 02PM,London,Winter,,43.0,0.0,Clear,41.85,11035,991.48
5201.0,2024-01-17T16:00Z,London,,18.98,32.0,0.0,Clear,39.77,9745,1019.52
5202.0,2024-01-17 18:00,London,Winter,1.71,66.0,4.41,Fog,,717,1017.74
5203.0,17/01/2024 08PM,London,Winter,-42.50280912741091,80.0,0.0,Clear,49.51,9901,1011.06
5204.0,2024-01-17 22:00,London,Winter,-3.92,56.0,,Clear,,9821,1007.95
5205.0,2024-01-18T00:00Z,London,Winter,61.35848389761314,53.0,0.0,Clear,50.56,10835,984.44
,2024-01-18 02:00,London,Winter,7.23,162.23033496405913,0.0,Clear,58.89,11652,1026.55
5207.0,,London,Autumn,20.96,167.32899597506716,35.09,,53.52,49994.29587519516,1006.21
5208.0,2024-01-18 06:00,London,Winter,5.62,84.0,,Fog,4.38,,1004.66
5209.0,18/01/2024 08AM,London,Winter,4.57,84.0,34.69,,27.62,10907,1025.98
5210.0,2024-01-18 10:00,London,Winter,-3.25,44.0,0.0,Clear,50.18,8540,875.5509154632304
5211.0,2024-01-18T12:00Z,London,Winter,1.53,75.0,12.05,Clear,3.79,11785,997.29
5212.0,,London,Summer,21.02,-26.403824622194428,0.0,Clear,73.63,9876,1028.81
5213.0,2024-01-18T16:00Z,,Winter,9.57,47.0,0.0,Clear,32.13,8225,1011.06
5214.0,2024-01-18T18:00Z,London,,15.35,,13.34,Rain,0.98,4639,998.69
5215.0,2024-01-18 20:00,London,Winter,,,8.19,Fog,60.42,7768,1009.76
5216.0,2024-01-18T22:00Z,London,Winter,8.08,71.0,11.71,Rain,38.44,9528,986.69
5217.0,19/01/2024 12AM,London,Winter,-4.03,44.0,,Fog,66.15,5751,1005.48
5218.0,2024-01-19 02:00,London,Winter,-1.23,73.0,0.0,Clear,192.276267588617,10447,1006.89
5219.0,2024-01-19T04:00Z,London,Winter,,89.0,12.3,Rain,,666,970.27
5220.0,2024-01-19T06:00Z,London,Winter,79.08110082409983,85.0,0.0,,17.12,10414,984.29
5221.0,19/01/2024 08AM,London,Winter,-2.28,,9.87,Fog,32.58,11846,1039.95
5222.0,2024-01-19 10:00,London,Winter,14.55,158.4657911584272,0.0,Clear,22.28,11233,1004.24
5223.0,19/01/2024 12PM,London,Winter,4.95,46.0,,Snow,26.16,5032,991.55
5224.0,19/01/2024 02PM,London,Winter,4.0,171.5090175679666,0.0,Clear,8.75,10343,889.7761279662831
5225.0,,,Winter,2.33,88.0,34.16,Rain,51.85,,
5226.0,2024-01-19T18:00Z,London,Winter,11.17,61.0,0.0,Clear,16.14,11482,991.9
5227.0,,London,Summer,24.16,42.0,0.0,Clear,43.2,9856,1025.24
5228.0,2024-01-19T22:00Z,London,Winter,7.76,67.0,3.81,Fog,32.82,3351,1014.05
5229.0,20/01/2024 12AM,London,Winter,3.44,57.0,0.0,Snow,,,1026.39
5230.0,2024-01-20T02:00Z,London,Winter,5.44,73.0,2.71,Fog,59.52,4345,1009.61
5231.0,20/01/2024 04AM,London,Winter,2.26,41.0,,Clear,30.78,10806,1024.31
5232.0,2024-01-20 06:00,London,Winter,0.95,68.0,,Fog,33.04,,1006.83
5233.0,2024-01-20T08:00Z,London,Winter,10.82,80.0,27.47,Rain,10.41,8546,995.76
5234.0,,London,Winter,7.94,69.0,6.61,Clear,,11167,1016.94
5235.0,20/01/2024 12PM,,Winter,3.63,58.0,0.0,Snow,18.84,4841,1018.99
5236.0,20/01/2024 02PM,London,Winter,2.09,78.0,8.06,Clear,44.76,11810,993.59
5237.0,20/01/2024 04PM,London,Winter,9.96,56.0,0.0,Clear,25.24,11494,
,20/01/2024 06PM,London,Winter,-37.27427144332705,71.0,5.89,Fog,53.05,,1030.73
5239.0,20/01/2024 08PM,London,Winter,,69.0,0.0,,77.58,10996,1021.88
5240.0,,,,7.65,154.07351709688137,62.68,Storm,70.55,4179,988.2
5241.0,21/01/2024 12AM,London,Winter,9.27,81.0,0.0,Clear,10.22,9210,1026.69
5242.0,21/01/2024 02AM,,Winter,71.5719735956848,-17.390536126187534,0.0,Clear,64.63,8864,1004.16
5243.0,2024-01-21 04:00,London,Winter,3.1,86.0,0.0,Clear,,8065,991.07
5244.0,2024-01-21T06:00Z,London,Winter,,50.0,0.0,,35.96,49990.76024700843,1029.18
5245.0,21/01/2024 08AM,London,Winter,9.49,,0.38,Fog,33.37,8085,1008.77
5246.0,2024-01-21T10:00Z,London,Winter,0.87,83.0,0.0,Snow,6.9,11862,966.94
5247.0,2024-01-21 12:00,London,Winter,-2.72,71.0,206.68728088891464,Storm,35.03,675,981.93
5248.0,2024-01-21T14:00Z,London,Winter,68.3651881328152,52.0,0.0,Clear,,11091,989.82
5249.0,21/01/2024 04PM,London,Winter,5.32,,,Fog,61.79,120017.83423792553,1010.79
5250.0,2024-01-21T18:00Z,London,Winter,11.54,49.0,0.0,Clear,52.16,9656,993.37
5251.0,2024-01-21T20:00Z,London,,16.55,163.49831607053125,0.0,Clear,58.56,120003.11874513491,1019.47
5252.0,2024-01-21T22:00Z,London,Winter,-0.32,85.0,0.0,Clear,62.28,49997.21273242125,1017.85
5253.0,22/01/2024 12AM,London,Winter,14.93,86.0,18.9,Clear,9.44,11866,994.75
5254.0,2024-01-22 02:00,London,Winter,1.07,49.0,0.0,Snow,,3767,1018.7
5255.0,,,Autumn,,92.0,0.0,Clear,63.69,120013.54585822241,1028.29
5256.0,2024-01-22T06:00Z,London,,23.6,94.0,,Clear,,10219,885.181910857299
5257.0,2024-01-22 08:00,London,,4.27,-20.074884521583268,0.0,Clear,,,1012.16
5258.0,2024-01-22T10:00Z,,,19.07,67.0,14.34,Rain,76.89,993,997.07
5259.0,,London,Winter,-2.54,57.0,0.0,Clear,50.81,10712,
5260.0,,,Winter,3.26,,17.53,Clear,9.87,9584,898.4061962353048
5261.0,2024-01-22T16:00Z,London,,18.4,49.0,92.60119250174016,Storm,58.32,,960.03
5262.0,,London,Summer,-38.17250535952408,40.0,0.0,Clear,60.72,9720,1015.67
,2024-01-22T20:00Z,London,,7.5,,223.3765200403151,Storm,65.73,1783,952.69
5264.0,,London,,20.33,68.0,0.0,Clear,36.27,8414,1021.32
5265.0,2024-01-23 00:00,London,Winter,13.09,62.0,0.0,,24.93,9274,995.82
5266.0,2024-01-23T02:00Z,London,,15.21,74.0,,Clear,55.58,10369,1001.99
5267.0,2024-01-23 04:00,London,Winter,4.33,89.0,0.0,Clear,182.2644053847358,11135,997.96
5268.0,2024-01-23 06:00,London,,,37.0,0.0,Clear,19.21,11272,898.1038866808256
5269.0,2024-01-23T08:00Z,London,Winter,13.42,74.0,9.81,Fog,6.51,10642,1010.76
5270.0,23/01/2024 10AM,London,Winter,,54.0,0.0,Clear,30.17,,1007.78
5271.0,23/01/2024 12PM,London,Winter,,68.0,212.81977473695798,Rain,180.00766492146212,10799,1002.72
5272.0,23/01/2024 02PM,London,Winter,3.12,70.0,0.0,Clear,18.7,11335,1002.52
5273.0,,London,Spring,,72.0,0.0,Clear,,11777,1029.77
,23/01/2024 06PM,London,Winter,5.69,76.0,0.0,Clear,,11732,
5275.0,23/01/2024 08PM,London,Winter,-2.42,64.0,3.88,Fog,40.2,N/A,1024.19
5276.0,2024-01-23 22:00,London,Winter,12.62,85.0,0.0,Clear,49.42,10861,1027.83
5277.0,2024-01-24 00:00,London,Winter,-0.65,75.0,0.0,Clear,190.97166558624912,9407,897.92842439124
5278.0,2024-01-24T02:00Z,London,Winter,3.75,,2.01,,61.09,8887,
5279.0,2024-01-24T04:00Z,London,Winter,-35.68975761953824,55.0,99.73226562413572,Snow,17.65,4405,1018.2
5280.0,24/01/2024 06AM,London,Winter,1.32,44.0,,Fog,47.91,,1002.97
5281.0,2024-01-24 08:00,,Winter,1.36,161.22278913527194,0.0,,60.72,,1004.98
5282.0,2024-01-24T10:00Z,London,Winter,12.55,90.0,0.0,,67.75,11713,1022.06
5283.0,,London,,5.77,46.0,0.0,Clear,40.59,8809,999.96
5284.0,2024-01-24 14:00,,Winter,2.55,79.0,,Snow,60.71,4798,992.59
